date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-24,106.92,108.27,105.77,106.49,1908298,106.92,108.27,105.77,106.49,1908298,0.0,1.0,INSM,tiingo
2026-07-27,104.73,107.3699,104.5,106.93,1899713,104.73,107.3699,104.5,106.93,1899713,0.0,1.0,INSM,tiingo
2026-07-28,104.13,105.76,103.18,104.73,1945719,104.13,105.76,103.18,104.73,1945719,0.0,1.0,INSM,tiingo
2026-07-29,103.12,106.26,102.81,103.98,2195533,103.12,106.26,102.81,103.98,2195533,0.0,1.0,INSM,tiingo
2026-07-30,101.49,102.098,99.03,101.63,3363495,101.49,102.098,99.03,101.63,3363495,0.0,1.0,INSM,tiingo
2026-07-31,98.6,101.91,97.05,101.25,2902595,98.6,101.91,97.05,101.25,2902595,0.0,1.0,INSM,tiingo
2026-08-03,98.45,99.9999,96.42,98.2,3546860,98.45,99.9999,96.42,98.2,3546860,0.0,1.0,INSM,tiingo
2026-08-04,98.75,99.48,97.86,98.975,4290804,98.75,99.48,97.86,98.975,4290804,0.0,1.0,INSM,tiingo
