symbol,company_name,weight,price,change,changes_percentage,market_cap,pe,eps,provider,quote_time,is_missing,error_type,attempted_symbol,was_api_success,was_parse_success,was_merge_success
NVDA,NVIDIA Corp,0.08087334,210.69,6.040009,2.95138,,,,twelve_data,1781789400,False,,NVDA,True,True,True
AAPL,Apple Inc,0.07057287,298.01001,2.059998,0.69606267,,,,twelve_data,1781789400,False,,AAPL,True,True,True
MU,Micron Technology Inc,0.052641850000000004,1133.98999,90.80005,8.70408,,,,twelve_data,1781789400,False,,MU,True,True,True
MSFT,Microsoft Corp,0.04569803,379.39999,0.48999023,0.12931573,,,,twelve_data,1781789400,False,,MSFT,True,True,True
AMZN,Amazon.com Inc,0.041410840000000004,244.39,6.89,2.90105,,,,twelve_data,1781789400,False,,AMZN,True,True,True
AMD,Advanced Micro Devices Inc,0.037461190000000005,537.37,24.89001,4.85678,,,,twelve_data,1781789400,False,,AMD,True,True,True
GOOGL,Alphabet Inc Class A,0.03439635,368.029999,4.23999,1.1655,,,,twelve_data,1781789400,False,,GOOGL,True,True,True
TSLA,Tesla Inc,0.03213133,400.48999,4.10999,1.03688,,,,twelve_data,1781789400,False,,TSLA,True,True,True
GOOG,Alphabet Inc Class C,0.03198577,367.45999,5.35999,1.48025,,,,twelve_data,1781789400,False,,GOOG,True,True,True
AVGO,Broadcom Inc,0.03025522,411.35001,18.45001,4.69585,,,,twelve_data,1781789400,False,,AVGO,True,True,True
META,Meta Platforms Inc,0.02721657,577.21997,9.63995,1.69843,,,,twelve_data,1781789400,False,,META,True,True,True
INTC,Intel Corp,0.02712343,133.99001,12.89001,10.6441,,,,twelve_data,1781789400,False,,INTC,True,True,True
WMT,Walmart Inc,0.025885159999999997,117.18,-0.94999695,-0.8041962,,,,twelve_data,1781789400,False,,WMT,True,True,True
AMAT,Applied Materials Inc,0.02108951,617.10999,24.19,4.079809,,,,twelve_data,1781789400,False,,AMAT,True,True,True
LRCX,Lam Research Corp,0.02095697,389.040009,14.86002,3.97136,,,,twelve_data,1781789400,False,,LRCX,True,True,True
CSCO,Cisco Systems Inc,0.020780820000000002,119.54,2.21,1.88358,,,,twelve_data,1781789400,False,,CSCO,True,True,True
COST,Costco Wholesale Corp,0.01921877,951.45001,-14.14001,-1.46439,,,,twelve_data,1781789400,False,,COST,True,True,True
NFLX,Netflix Inc,0.01456344,77.38,0.41999817,0.54573567,,,,twelve_data,1781789400,False,,NFLX,True,True,True
KLAC,KLA Corp,0.014024620000000002,259.56,20.83,8.72534,,,,twelve_data,1781789400,False,,KLAC,True,True,True
PLTR,Palantir Technologies Inc,0.01341597,128.47,-2.16,-1.65353,,,,twelve_data,1781789400,False,,PLTR,True,True,True
