symbol,company_name,weight,price,change,changes_percentage,market_cap,pe,eps,provider,quote_time,is_missing,error_type,attempted_symbol,was_api_success,was_parse_success,was_merge_success
NVDA,NVIDIA Corp,0.08115278,204.64999,-2.76001,-1.3307,,,,twelve_data,1781703000,False,,NVDA,True,True,True
AAPL,Apple Inc,0.0706517,295.95001,-3.28998,-1.099445,,,,twelve_data,1781703000,False,,AAPL,True,True,True
MU,Micron Technology Inc,0.051000569999999995,1043.18994,22.42993,2.19738,,,,twelve_data,1781703000,False,,MU,True,True,True
MSFT,Microsoft Corp,0.04702771,378.91,-14.91998,-3.78843,,,,twelve_data,1781703000,False,,MSFT,True,True,True
AMZN,Amazon.com Inc,0.04246868,237.5,-8.5,-3.45528,,,,twelve_data,1781703000,False,,AMZN,True,True,True
AMD,Advanced Micro Devices Inc,0.03671506,512.47998,5.18997,1.023078,,,,twelve_data,1781703000,False,,AMD,True,True,True
GOOGL,Alphabet Inc Class A,0.034941770000000004,363.79001,-9.45999,-2.53449,,,,twelve_data,1781703000,False,,GOOGL,True,True,True
TSLA,Tesla Inc,0.03247808,396.38,-8.28,-2.046162,,,,twelve_data,1781703000,False,,TSLA,True,True,True
GOOG,Alphabet Inc Class C,0.0324566,362.10001,-9.0,-2.42522,,,,twelve_data,1781703000,False,,GOOG,True,True,True
AVGO,Broadcom Inc,0.02872162,392.89999,16.19,4.29774,,,,twelve_data,1781703000,False,,AVGO,True,True,True
META,Meta Platforms Inc,0.02849532,567.58002,-32.63,-5.43643,,,,twelve_data,1781703000,False,,META,True,True,True
WMT,Walmart Inc,0.026258319999999998,118.13,-2.9,-2.3961,,,,twelve_data,1781703000,False,,WMT,True,True,True
INTC,Intel Corp,0.025957050000000002,121.099998,4.049995,3.46006,,,,twelve_data,1781703000,False,,INTC,True,True,True
CSCO,Cisco Systems Inc,0.02096811,117.33,-2.24,-1.87338,,,,twelve_data,1781703000,False,,CSCO,True,True,True
LRCX,Lam Research Corp,0.02046709,374.17999,4.84,1.31044,,,,twelve_data,1781703000,False,,LRCX,True,True,True
AMAT,Applied Materials Inc,0.02001143,592.91998,24.69,4.34507,,,,twelve_data,1781703000,False,,AMAT,True,True,True
COST,Costco Wholesale Corp,0.01944433,965.59003,-21.089966,-2.13747,,,,twelve_data,1781703000,False,,COST,True,True,True
NFLX,Netflix Inc,0.014749159999999999,76.96,-1.76,-2.23578,,,,twelve_data,1781703000,False,,NFLX,True,True,True
KLAC,KLA Corp,0.013804499999999999,238.73,1.39999,0.58989335,,,,twelve_data,1781703000,False,,KLAC,True,True,True
PLTR,Palantir Technologies Inc,0.013549690000000001,130.63,-2.62,-1.96623,,,,twelve_data,1781703000,False,,PLTR,True,True,True
