date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-07-13,84.23,86.995,83.875,86.995,10301307,84.23,86.995,83.875,86.995,10301307,0.0,1.0,MCHP,tiingo
2026-07-14,87.11,88.65,86.39,87.995,10238657,87.11,88.65,86.39,87.995,10238657,0.0,1.0,MCHP,tiingo
2026-07-15,86.26,88.14,83.58,88.14,7512892,86.26,88.14,83.58,88.14,7512892,0.0,1.0,MCHP,tiingo
2026-07-16,81.68,84.82,80.85,83.85,12220209,81.68,84.82,80.85,83.85,12220209,0.0,1.0,MCHP,tiingo
2026-07-17,80.96,82.0,78.0,78.955,12927188,80.96,82.0,78.0,78.955,12927188,0.0,1.0,MCHP,tiingo
2026-07-20,80.51,83.42,80.33,82.525,7503929,80.51,83.42,80.33,82.525,7503929,0.0,1.0,MCHP,tiingo
2026-07-21,83.38,83.87,81.515,83.19,11642182,83.38,83.87,81.515,83.19,11642182,0.0,1.0,MCHP,tiingo
2026-07-22,85.02,85.655,81.84,81.875,6537906,85.02,85.655,81.84,81.875,6537906,0.0,1.0,MCHP,tiingo
