symbol,company_name,weight,price,change,changes_percentage,market_cap,pe,eps,provider,quote_time,is_missing,error_type,attempted_symbol,was_api_success,was_parse_success,was_merge_success
NVDA,NVIDIA Corp,0.08158725,205.19,0.32000732,0.15620019,,,,twelve_data,1781271000,False,,NVDA,True,True,True
AAPL,Apple Inc,0.07104144,291.13,-4.5,-1.52217,,,,twelve_data,1781271000,False,,AAPL,True,True,True
MU,Micron Technology Inc,0.05064242,981.60999,-14.26001,-1.43191,,,,twelve_data,1781271000,False,,MU,True,True,True
MSFT,Microsoft Corp,0.047440420000000004,390.73999,0.3999939,0.1024732,,,,twelve_data,1781271000,False,,MSFT,True,True,True
AMZN,Amazon.com Inc,0.04243544,238.55,-2.95999,-1.22562,,,,twelve_data,1781271000,False,,AMZN,True,True,True
AMD,Advanced Micro Devices Inc,0.03598059,511.57001,23.12,4.73334,,,,twelve_data,1781271000,False,,AMD,True,True,True
GOOGL,Alphabet Inc Class A,0.03410962,359.67999,1.91,0.53386358,,,,twelve_data,1781271000,False,,GOOGL,True,True,True
TSLA,Tesla Inc,0.03260589,406.42999,7.28,1.82388,,,,twelve_data,1781271000,False,,TSLA,True,True,True
GOOG,Alphabet Inc Class C,0.03175952,358.16,1.60001,0.44873405,,,,twelve_data,1781271000,False,,GOOG,True,True,True
AVGO,Broadcom Inc,0.02992026,382.070007,-3.5,-0.90774695,,,,twelve_data,1781271000,False,,AVGO,True,True,True
META,Meta Platforms Inc,0.02744266,566.97998,-1.45001,-0.25509073,,,,twelve_data,1781271000,False,,META,True,True,True
WMT,Walmart Inc,0.02660854,121.040001,0.54000092,0.44813354,,,,twelve_data,1781271000,False,,WMT,True,True,True
INTC,Intel Corp,0.02639863,124.57,7.61,6.5065,,,,twelve_data,1781271000,False,,INTC,True,True,True
CSCO,Cisco Systems Inc,0.0217446,121.099998,-0.73000336,-0.59919835,,,,twelve_data,1781271000,False,,CSCO,True,True,True
LRCX,Lam Research Corp,0.02044665,366.81,4.29001,1.18339,,,,twelve_data,1781271000,False,,LRCX,True,True,True
AMAT,Applied Materials Inc,0.01980873,567.25,14.60999,2.64367,,,,twelve_data,1781271000,False,,AMAT,True,True,True
COST,Costco Wholesale Corp,0.01956992,982.34998,6.65997,0.6825911,,,,twelve_data,1781271000,False,,COST,True,True,True
NFLX,Netflix Inc,0.01549789,80.34,-0.93000031,-1.14433,,,,twelve_data,1781271000,False,,NFLX,True,True,True
KLAC,KLA Corp,0.01427723,254.53999,13.37599,5.54643,,,,twelve_data,1781271000,False,,KLAC,True,True,True
PLTR,Palantir Technologies Inc,0.01356621,127.99,-3.090004,-2.35734,,,,twelve_data,1781271000,False,,PLTR,True,True,True
