symbol,company_name,weight,price,change,changes_percentage,market_cap,pe,eps,provider,quote_time,is_missing,error_type,attempted_symbol,was_api_success,was_parse_success,was_merge_success
NVDA,NVIDIA Corp,0.08243983999999999,204.87,4.45,2.22034,,,,twelve_data,1781184600,False,,NVDA,True,True,True
AAPL,Apple Inc,0.07237034,295.63,4.050018,1.38899,,,,twelve_data,1781184600,False,,AAPL,True,True,True
MSFT,Microsoft Corp,0.049995000000000005,390.34,-7.019989,-1.76666,,,,twelve_data,1781184600,False,,MSFT,True,True,True
MU,Micron Technology Inc,0.04684442,995.87,103.98999,11.65964,,,,twelve_data,1781184600,False,,MU,True,True,True
AMZN,Amazon.com Inc,0.04319267,241.50999,3.50999,1.47479,,,,twelve_data,1781184600,False,,AMZN,True,True,True
GOOGL,Alphabet Inc Class A,0.03509355,357.76999,1.38998,0.39002865,,,,twelve_data,1781184600,False,,GOOGL,True,True,True
AMD,Advanced Micro Devices Inc,0.03441995,488.45001,36.050018,7.96862,,,,twelve_data,1781184600,False,,AMD,True,True,True
GOOG,Alphabet Inc Class C,0.03250514,356.56,3.23999,0.91701295,,,,twelve_data,1781184600,False,,GOOG,True,True,True
TSLA,Tesla Inc,0.032195589999999996,399.14999,17.56,4.6018,,,,twelve_data,1781184600,False,,TSLA,True,True,True
AVGO,Broadcom Inc,0.02982369,385.57001,13.47,3.61999,,,,twelve_data,1781184600,False,,AVGO,True,True,True
META,Meta Platforms Inc,0.02847146,568.42999,-2.54999,-0.44659846,,,,twelve_data,1781184600,False,,META,True,True,True
WMT,Walmart Inc,0.027503299999999998,120.5,-0.089996338,-0.07463002,,,,twelve_data,1781184600,False,,WMT,True,True,True
INTC,Intel Corp,0.0249534,116.96,9.92,9.26756,,,,twelve_data,1781184600,False,,INTC,True,True,True
CSCO,Cisco Systems Inc,0.02190046,121.83,3.029999,2.5505,,,,twelve_data,1781184600,False,,CSCO,True,True,True
COST,Costco Wholesale Corp,0.02037201,975.69,-7.67999,-0.78098709,,,,twelve_data,1781184600,False,,COST,True,True,True
LRCX,Lam Research Corp,0.01874631,362.51999,40.72,12.65382,,,,twelve_data,1781184600,False,,LRCX,True,True,True
AMAT,Applied Materials Inc,0.01841976,552.64001,55.63,11.19293,,,,twelve_data,1781184600,False,,AMAT,True,True,True
NFLX,Netflix Inc,0.016150869999999998,81.27,-0.73000336,-0.890248,,,,twelve_data,1781184600,False,,NFLX,True,True,True
PLTR,Palantir Technologies Inc,0.013918930000000001,131.080002,0.86999512,0.66814766,,,,twelve_data,1781184600,False,,PLTR,True,True,True
KLAC,KLA Corp,0.013058700000000001,2411.63989,2198.075897,1029.23524,,,,twelve_data,1781184600,False,,KLAC,True,True,True
