symbol,company_name,weight,provider,endpoint,attempted_symbol,http_status,api_status,raw_error,parse_error,was_api_success,was_parse_success,was_merge_success,final_missing
NVDA,NVIDIA Corp,0.08155758,twelve_data,quote,NVDA,200,success,,,True,True,True,False
AAPL,Apple Inc,0.06866865,twelve_data,quote,AAPL,200,success,,,True,True,True,False
MU,Micron Technology Inc,0.05333647,twelve_data,quote,MU,200,success,,,True,True,True,False
MSFT,Microsoft Corp,0.046837359999999995,twelve_data,quote,MSFT,200,success,,,True,True,True,False
AMZN,Amazon.com Inc,0.04167276,twelve_data,quote,AMZN,200,success,,,True,True,True,False
AMD,Advanced Micro Devices Inc,0.03886242,twelve_data,quote,AMD,200,success,,,True,True,True,False
GOOGL,Alphabet Inc Class A,0.03392589,twelve_data,quote,GOOGL,200,success,,,True,True,True,False
TSLA,Tesla Inc,0.03237789,twelve_data,quote,TSLA,200,success,,,True,True,True,False
GOOG,Alphabet Inc Class C,0.03150331,twelve_data,quote,GOOG,200,success,,,True,True,True,False
AVGO,Broadcom Inc,0.029469989999999998,twelve_data,quote,AVGO,200,success,,,True,True,True,False
INTC,Intel Corp,0.027820610000000003,twelve_data,quote,INTC,200,success,,,True,True,True,False
META,Meta Platforms Inc,0.02764571,twelve_data,quote,META,200,success,,,True,True,True,False
WMT,Walmart Inc,0.0257194,twelve_data,quote,WMT,200,success,,,True,True,True,False
LRCX,Lam Research Corp,0.02114648,twelve_data,quote,LRCX,200,success,,,True,True,True,False
CSCO,Cisco Systems Inc,0.020676700000000003,twelve_data,quote,CSCO,200,success,,,True,True,True,False
AMAT,Applied Materials Inc,0.02024122,twelve_data,quote,AMAT,200,success,,,True,True,True,False
COST,Costco Wholesale Corp,0.01893856,twelve_data,quote,COST,200,success,,,True,True,True,False
NFLX,Netflix Inc,0.01501388,twelve_data,quote,NFLX,200,success,,,True,True,True,False
KLAC,KLA Corp,0.01463416,twelve_data,quote,KLAC,200,success,,,True,True,True,False
SNDK,Sandisk Corp,0.01354646,twelve_data,quote,SNDK,200,success,,,True,True,True,False
