date,open,high,low,close,volume,symbol,source
2026-06-09,210.69,213.3199,207.91,212.050003,1710039,TTWO,twelve_data
2026-06-08,214.0,214.36,208.5,212.55,2481100,TTWO,twelve_data
2026-06-05,217.33,220.28999,212.78,214.39,1989800,TTWO,twelve_data
2026-06-04,217.0099945,220.75,216.35001,216.64999,1942200,TTWO,twelve_data
2026-06-03,220.0,220.78999,214.28999,215.8,2188500,TTWO,twelve_data
2026-06-02,222.25999,224.0,217.36,222.38,2682900,TTWO,twelve_data
2026-06-01,227.99001,231.020004,223.88,226.98,2625800,TTWO,twelve_data
2026-05-29,218.25999,227.78,217.85001,224.16,6487100,TTWO,twelve_data
2026-05-28,219.67,221.48,216.31,217.87,2730600,TTWO,twelve_data
2026-05-27,217.97,224.11,216.39999,218.46001,2976800,TTWO,twelve_data
2026-05-26,225.13,230.64,220.49001,220.67,3239500,TTWO,twelve_data
2026-05-22,243.75,247.0,220.56,227.55,7045300,TTWO,twelve_data
2026-05-21,236.3,241.91,236.10001,238.080002,4202700,TTWO,twelve_data
2026-05-20,236.10001,237.32001,233.13,236.62,1859200,TTWO,twelve_data
2026-05-19,240.39999,242.16,235.89999,238.14,1784800,TTWO,twelve_data
2026-05-18,233.35001,244.13,231.96001,242.16,2339700,TTWO,twelve_data
2026-05-15,243.77,246.24001,240.28999,242.44,1959500,TTWO,twelve_data
2026-05-14,239.5,246.25,236.5,242.41,3667000,TTWO,twelve_data
2026-05-13,224.92999,228.95,221.73,226.99001,1660500,TTWO,twelve_data
2026-05-12,224.36,228.78999,221.7,225.99001,1785600,TTWO,twelve_data
2026-05-11,221.41,224.92999,219.039993,221.47,2061000,TTWO,twelve_data
2026-05-08,222.64,222.98,219.71001,220.45,1756100,TTWO,twelve_data
2026-05-07,225.059998,227.020004,222.16,223.5,1901200,TTWO,twelve_data
2026-05-06,221.0,225.14,218.7,222.0,1850700,TTWO,twelve_data
2026-05-05,226.0,226.44,221.94,223.11,1310300,TTWO,twelve_data
2026-05-04,219.35001,227.020004,218.21001,225.17999,2046300,TTWO,twelve_data
2026-05-01,215.46001,217.36,211.58,216.029999,1042200,TTWO,twelve_data
2026-04-30,213.48,215.5,211.33,213.75999,1430800,TTWO,twelve_data
2026-04-29,212.59,215.92,209.50999,215.34,1028000,TTWO,twelve_data
2026-04-28,213.050003,215.78999,211.25999,213.0099945,929000,TTWO,twelve_data
2026-04-27,209.23,216.35001,208.75,213.77,1532900,TTWO,twelve_data
2026-04-24,210.99001,211.0,207.8,210.75,1101500,TTWO,twelve_data
2026-04-23,215.0099945,215.0099945,206.45,209.89999,1587900,TTWO,twelve_data
2026-04-22,219.089996,221.22,216.67999,218.19,1246500,TTWO,twelve_data
2026-04-21,218.0,219.87,215.73,217.64999,1165800,TTWO,twelve_data
2026-04-20,212.14,216.95,210.78,216.85001,1384300,TTWO,twelve_data
2026-04-17,217.92,218.7,211.72,212.039993,1792400,TTWO,twelve_data
2026-04-16,216.73,217.050003,212.75,213.92999,1384000,TTWO,twelve_data
2026-04-15,207.66,215.37,206.58,214.14999,1951700,TTWO,twelve_data
2026-04-14,202.52,207.84,202.25999,205.10001,1731000,TTWO,twelve_data
2026-04-13,197.48,202.19,196.0099945,201.36,2078800,TTWO,twelve_data
2026-04-10,197.39999,199.21001,194.50999,197.070007,1532900,TTWO,twelve_data
2026-04-09,201.0099945,201.21001,197.59,198.050003,1493800,TTWO,twelve_data
2026-04-08,202.82001,205.11,201.13,202.13,1646600,TTWO,twelve_data
2026-04-07,195.84,198.63,193.94,198.33,1247500,TTWO,twelve_data
2026-04-06,199.8,199.92,193.78999,196.69,1405700,TTWO,twelve_data
2026-04-02,195.11,202.13,193.89999,199.87,1473500,TTWO,twelve_data
2026-04-01,198.0,199.48,196.55,198.2,1348600,TTWO,twelve_data
2026-03-31,194.24001,198.50999,193.38,197.5,2085100,TTWO,twelve_data
2026-03-30,192.78999,195.62,191.23,193.080002,2086700,TTWO,twelve_data
2026-03-27,193.0,194.0,187.63,189.69,1867400,TTWO,twelve_data
2026-03-26,190.5,197.17,190.35001,194.72,1677400,TTWO,twelve_data
2026-03-25,194.059998,195.89,188.23,193.050003,1931200,TTWO,twelve_data
2026-03-24,199.57001,199.92,191.0,191.37,2465200,TTWO,twelve_data
2026-03-23,201.34,203.44,199.19,200.84,1875900,TTWO,twelve_data
2026-03-20,200.71001,202.39,198.020004,200.63,3698600,TTWO,twelve_data
2026-03-19,203.39999,206.38,199.55,201.75,1626000,TTWO,twelve_data
2026-03-18,204.8,208.89999,203.62,204.22,1497500,TTWO,twelve_data
2026-03-17,209.059998,213.0,206.44,206.72,1587400,TTWO,twelve_data
2026-03-16,209.46001,212.020004,207.45,207.69,2129900,TTWO,twelve_data
2026-03-13,209.33,210.35001,203.89999,208.58,1633800,TTWO,twelve_data
2026-03-12,210.67999,212.81,208.17,209.2,1351900,TTWO,twelve_data
2026-03-11,209.13,211.64,207.5,211.089996,1868800,TTWO,twelve_data
2026-03-10,214.77,216.0,207.8,209.080002,1877800,TTWO,twelve_data
2026-03-09,208.69,214.84,208.0099945,214.63,1876300,TTWO,twelve_data
2026-03-06,210.82001,212.46001,208.69,211.5,1587400,TTWO,twelve_data
2026-03-05,213.089996,216.17,210.82001,212.53,2112200,TTWO,twelve_data
2026-03-04,217.92,219.45,211.32001,215.77,2471000,TTWO,twelve_data
2026-03-03,209.78,221.080002,208.50999,217.050003,2367200,TTWO,twelve_data
2026-03-02,209.0,215.96001,208.78,213.88,1966800,TTWO,twelve_data
2026-02-27,210.31,213.67999,209.37,211.48,2234800,TTWO,twelve_data
2026-02-26,207.75999,214.14999,207.75,213.28999,2231300,TTWO,twelve_data
2026-02-25,204.85001,207.98,202.84,207.31,2416600,TTWO,twelve_data
2026-02-24,194.77,204.50999,192.63,204.19,1982500,TTWO,twelve_data
2026-02-23,199.17,199.33,194.14,195.59,1962800,TTWO,twelve_data
2026-02-20,199.12,202.94,197.2,199.72,1872600,TTWO,twelve_data
2026-02-19,199.029999,204.60001,198.75,201.37,2139600,TTWO,twelve_data
2026-02-18,194.73,200.089996,193.89,199.13,1931000,TTWO,twelve_data
2026-02-17,193.64999,196.83,191.88,193.87,2160800,TTWO,twelve_data
2026-02-13,191.89999,194.67999,188.64999,193.67,2575400,TTWO,twelve_data
2026-02-12,203.39999,204.2,189.28999,190.36,5020800,TTWO,twelve_data
2026-02-11,208.0,210.24001,199.36,203.89,4207300,TTWO,twelve_data
2026-02-10,212.49001,213.53,208.73,210.71001,4145200,TTWO,twelve_data
2026-02-09,197.5,205.66,196.33,205.029999,4129000,TTWO,twelve_data
2026-02-06,197.42,198.070007,189.45,195.59,3100300,TTWO,twelve_data
2026-02-05,201.78,203.78,192.2,193.24001,3995400,TTWO,twelve_data
2026-02-04,207.71001,209.050003,197.45,200.75999,5743300,TTWO,twelve_data
2026-02-03,220.98,221.16,206.61,212.17,5266500,TTWO,twelve_data
2026-02-02,225.50999,229.080002,220.35001,221.81,4345800,TTWO,twelve_data
2026-01-30,237.67,238.14999,211.13,220.3,9097800,TTWO,twelve_data
2026-01-29,241.039993,243.71001,236.13,239.27,1907100,TTWO,twelve_data
2026-01-28,245.99001,248.55,242.33,243.17999,1554600,TTWO,twelve_data
2026-01-27,246.050003,248.53999,242.73,245.52,1173800,TTWO,twelve_data
2026-01-26,245.57001,247.2,244.059998,245.63,1204700,TTWO,twelve_data
2026-01-23,241.14,245.82001,240.94,245.73,1174900,TTWO,twelve_data
2026-01-22,239.56,241.55,233.85001,241.10001,1625500,TTWO,twelve_data
2026-01-21,240.61,241.0,236.0099945,238.23,1267600,TTWO,twelve_data
2026-01-20,239.0,242.92,237.059998,240.61,1350400,TTWO,twelve_data
2026-01-16,244.97,245.029999,239.0,240.14,1718300,TTWO,twelve_data
2026-01-15,245.48,246.0,242.55,244.34,1083900,TTWO,twelve_data
2026-01-14,246.67999,246.75,241.50999,245.49001,1454700,TTWO,twelve_data
2026-01-13,248.94,250.49001,244.77,247.49001,1158600,TTWO,twelve_data
2026-01-12,249.039993,251.21001,245.74001,248.92,1177100,TTWO,twelve_data
2026-01-09,252.71001,254.8,249.34,250.71001,1013600,TTWO,twelve_data
2026-01-08,256.94,257.91,250.59,252.38,1567800,TTWO,twelve_data
2026-01-07,253.66,257.14999,251.28,256.67001,1192400,TTWO,twelve_data
2026-01-06,257.29001,257.79999,253.58,254.35001,922100,TTWO,twelve_data
2026-01-05,252.42999,258.56,251.35001,257.31,1108700,TTWO,twelve_data
2026-01-02,257.70999,257.70999,250.2,251.60001,1317900,TTWO,twelve_data
2025-12-31,257.91,258.39001,255.91,256.029999,808000,TTWO,twelve_data
2025-12-30,255.41,260.040009,254.46001,257.91,1073400,TTWO,twelve_data
2025-12-29,255.0,256.57001,254.16,255.7,1076200,TTWO,twelve_data
2025-12-26,250.74001,256.29001,249.84,256.089996,920700,TTWO,twelve_data
2025-12-25,250.74001,251.60001,250.74001,251.60001,485848,TTWO,twelve_data
2025-12-24,249.23,251.72,248.75999,251.60001,485800,TTWO,twelve_data
2025-12-23,248.53999,249.46001,247.66,249.23,648200,TTWO,twelve_data
2025-12-22,247.39999,249.78,247.059998,248.58,1084600,TTWO,twelve_data
2025-12-19,246.2,250.38,244.39,247.39999,3905400,TTWO,twelve_data
2025-12-18,242.98,246.85001,241.38,246.64999,1810300,TTWO,twelve_data
2025-12-17,244.69,246.2,240.28,240.55,1563900,TTWO,twelve_data
2025-12-16,244.5,246.91,243.19,244.53,1526900,TTWO,twelve_data
2025-12-15,244.28,246.84,242.64999,244.56,1888600,TTWO,twelve_data
2025-12-12,242.16,243.3,240.5,241.47,1529900,TTWO,twelve_data
2025-12-11,244.0099945,246.74001,242.059998,242.41,1478400,TTWO,twelve_data
2025-12-10,249.28999,250.17999,245.36,246.020004,1150000,TTWO,twelve_data
2025-12-09,247.0,249.5,246.23,248.73,1356600,TTWO,twelve_data
2025-12-08,248.52,248.95,245.99001,247.28,1096100,TTWO,twelve_data
2025-12-05,247.7,251.34,246.84,247.88,1362400,TTWO,twelve_data
2025-12-04,244.21001,247.89999,242.19,247.50999,1013900,TTWO,twelve_data
2025-12-03,246.25999,246.55,242.98,244.95,849300,TTWO,twelve_data
2025-12-02,249.24001,250.0,246.56,246.83,1321300,TTWO,twelve_data
2025-12-01,246.070007,249.85001,242.5,249.34,1706700,TTWO,twelve_data
2025-11-28,244.78,246.49001,243.74001,246.070007,590100,TTWO,twelve_data
2025-11-26,242.5,245.53999,241.86,243.63,1026800,TTWO,twelve_data
2025-11-25,239.62,242.42,238.81,241.84,1142000,TTWO,twelve_data
2025-11-24,234.89999,240.37,234.89,239.070007,2272200,TTWO,twelve_data
2025-11-21,234.86,238.37,234.020004,235.47,1759800,TTWO,twelve_data
2025-11-20,242.41,243.45,234.42,235.37,1717300,TTWO,twelve_data
2025-11-19,238.52,244.24001,236.63,240.46001,2097100,TTWO,twelve_data
2025-11-18,233.39999,239.92,231.5,239.089996,1867400,TTWO,twelve_data
2025-11-17,235.11,236.48,232.24001,233.58,1456900,TTWO,twelve_data
2025-11-14,235.95,238.27,234.0099945,235.029999,1542800,TTWO,twelve_data
2025-11-13,239.52,242.089996,237.27,237.55,1358200,TTWO,twelve_data
2025-11-12,241.050003,242.60001,238.28999,240.34,1317400,TTWO,twelve_data
2025-11-11,234.059998,241.42999,233.2,240.7,2072300,TTWO,twelve_data
2025-11-10,231.97,237.020004,229.10001,234.059998,3222600,TTWO,twelve_data
2025-11-07,232.029999,243.56,227.25,232.0,5792500,TTWO,twelve_data
2025-11-06,253.089996,256.92001,252.039993,252.39999,3324700,TTWO,twelve_data
2025-11-05,253.71001,256.26999,249.99001,254.75999,2309400,TTWO,twelve_data
2025-11-04,256.059998,256.059998,250.33,252.42999,1818500,TTWO,twelve_data
2025-11-03,257.75,257.75,251.33,255.64999,1513300,TTWO,twelve_data
2025-10-31,253.16,257.089996,253.16,256.37,1411100,TTWO,twelve_data
2025-10-30,251.46001,255.98,250.0,252.78,1264900,TTWO,twelve_data
2025-10-29,250.12,252.75,249.24001,251.73,1520300,TTWO,twelve_data
2025-10-28,254.64,256.20001,251.41,251.57001,1455600,TTWO,twelve_data
2025-10-27,256.29001,257.01001,252.14999,254.27,1318200,TTWO,twelve_data
2025-10-24,255.95,258.029999,254.39999,255.12,957400,TTWO,twelve_data
2025-10-23,255.34,256.98999,254.25,254.53,1042000,TTWO,twelve_data
2025-10-22,261.0,261.059998,254.94,255.56,1590400,TTWO,twelve_data
2025-10-21,261.29001,262.20001,258.32999,260.28,916000,TTWO,twelve_data
2025-10-20,262.22,262.95001,260.37,262.29001,1340100,TTWO,twelve_data
2025-10-17,259.23001,263.0,258.22,261.35001,1001800,TTWO,twelve_data
2025-10-16,262.72,264.34,257.54001,259.23001,1327000,TTWO,twelve_data
2025-10-15,259.42001,264.79001,259.38,261.5,1325300,TTWO,twelve_data
2025-10-14,256.98999,260.73001,254.55,257.72,900000,TTWO,twelve_data
2025-10-13,253.3,257.42001,251.5,256.67999,931200,TTWO,twelve_data
2025-10-10,256.089996,258.14001,250.95,251.97,1350300,TTWO,twelve_data
2025-10-09,259.34,259.38,255.86,256.69,923300,TTWO,twelve_data
