run_date,symbol,weight,provider,history_sources,cache_path,price_column,latest_date,ma200_ready,before_rows,after_rows,fetched_rows,is_complete,was_requested,ok,rate_limited,stopped_after_429,retry_after_seconds,message
2026-06-06,BKNG,0.00604647,tiingo,tiingo,data/cache/prices/BKNG.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,VRTX,0.00521329,tiingo,tiingo,data/cache/prices/VRTX.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,SBUX,0.00498617,tiingo,tiingo,data/cache/prices/SBUX.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,FTNT,0.00491673,tiingo,tiingo,data/cache/prices/FTNT.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,MAR,0.00478578,tiingo,tiingo,data/cache/prices/MAR.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,CDNS,0.00477026,tiingo,tiingo,data/cache/prices/CDNS.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,ADBE,0.00470748,tiingo,tiingo,data/cache/prices/ADBE.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,ADP,0.0042894,tiingo,tiingo,data/cache/prices/ADP.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,CEG,0.0042366999999999,tiingo,tiingo,data/cache/prices/CEG.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,SNPS,0.00408978,tiingo,tiingo,data/cache/prices/SNPS.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,CSX,0.0040252199999999,tiingo,tiingo,data/cache/prices/CSX.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,MNST,0.00402351,tiingo,tiingo,data/cache/prices/MNST.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,CMCSA,0.00392577,tiingo,tiingo,data/cache/prices/CMCSA.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,INTU,0.0037698799999999,tiingo,tiingo,data/cache/prices/INTU.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,MELI,0.0037436199999999,tiingo,tiingo,data/cache/prices/MELI.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,MDLZ,0.00365249,tiingo,tiingo,data/cache/prices/MDLZ.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,DDOG,0.00353196,tiingo,tiingo,data/cache/prices/DDOG.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,ORLY,0.00347865,tiingo,tiingo,data/cache/prices/ORLY.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,NXPI,0.00343483,tiingo,tiingo,data/cache/prices/NXPI.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,ROST,0.00342223,tiingo,tiingo,data/cache/prices/ROST.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,MPWR,0.00334133,tiingo,tiingo,data/cache/prices/MPWR.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,CTAS,0.00331141,tiingo,tiingo,data/cache/prices/CTAS.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,AEP,0.00323108,tiingo,tiingo,data/cache/prices/AEP.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,REGN,0.00303237,tiingo,tiingo,data/cache/prices/REGN.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,WBD,0.00298872,tiingo,tiingo,data/cache/prices/WBD.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,DASH,0.00295241,tiingo,tiingo,data/cache/prices/DASH.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,BKR,0.00284084,tiingo,tiingo,data/cache/prices/BKR.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,LITE,0.00283229,tiingo,tiingo,data/cache/prices/LITE.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,PCAR,0.00281824,tiingo,tiingo,data/cache/prices/PCAR.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,ABNB,0.0025979,tiingo,tiingo,data/cache/prices/ABNB.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,FANG,0.00249549,tiingo,tiingo,data/cache/prices/FANG.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
2026-06-06,FAST,0.00246774,tiingo,tiingo,data/cache/prices/FAST.csv,adjClose,2026-06-04,True,288,288,0,True,False,True,False,False,,cache complete
