run_date,provider,endpoint,calls_attempted,calls_success,calls_failed,rate_limited,limit_window,limit_value,credits_used,symbols_requested,symbols_loaded,stopped_after_429,retry_after_seconds,message
2026-06-06,tiingo,daily_prices_cache_backfill,1,1,0,False,hour,50,1,MU,MU,False,,MU: 288 rows
2026-06-06,twelve_data,time_series_cache_fallback,0,0,0,False,minute,8,0,,,False,,no fallback candidates
