symbol,company_name,weight,provider,endpoint,attempted_symbol,http_status,api_status,raw_error,parse_error,was_api_success,was_parse_success,was_merge_success,final_missing
NVDA,NVIDIA Corp,0.08433591,twelve_data,quote,NVDA,,cache,,,False,False,True,False
AAPL,Apple Inc,0.07244039,twelve_data,quote,AAPL,,cache,,,False,False,True,False
MSFT,Microsoft Corp,0.05049571,twelve_data,quote,MSFT,,cache,,,False,False,True,False
MU,Micron Technology Inc,0.04905769,twelve_data,quote,MU,,cache,,,False,False,True,False
AMZN,Amazon.com Inc,0.04319211,twelve_data,quote,AMZN,,cache,,,False,False,True,False
AMD,Advanced Micro Devices Inc,0.03732949,twelve_data,quote,AMD,,cache,,,False,False,True,False
GOOGL,Alphabet Inc Class A,0.034348369999999996,twelve_data,quote,GOOGL,,cache,,,False,False,True,False
TSLA,Tesla Inc,0.03310853,twelve_data,quote,TSLA,,cache,,,False,False,True,False
GOOG,Alphabet Inc Class C,0.03183849,twelve_data,quote,GOOG,,cache,,,False,False,True,False
AVGO,Broadcom Inc,0.0314861,twelve_data,quote,AVGO,,cache,,,False,False,True,False
META,Meta Platforms Inc,0.02934593,twelve_data,quote,META,,cache,,,False,False,True,False
WMT,Walmart Inc,0.02518224,twelve_data,quote,WMT,,cache,,,False,False,True,False
INTC,Intel Corp,0.0244368,twelve_data,quote,INTC,,cache,,,False,False,True,False
CSCO,Cisco Systems Inc,0.022473809999999997,twelve_data,quote,CSCO,,cache,,,False,False,True,False
COST,Costco Wholesale Corp,0.01889016,twelve_data,quote,COST,,cache,,,False,False,True,False
LRCX,Lam Research Corp,0.01837787,twelve_data,quote,LRCX,,cache,,,False,False,True,False
AMAT,Applied Materials Inc,0.01743618,twelve_data,quote,AMAT,,cache,,,False,False,True,False
NFLX,Netflix Inc,0.01506454,twelve_data,quote,NFLX,,cache,,,False,False,True,False
PLTR,Palantir Technologies Inc,0.01420458,twelve_data,quote,PLTR,,cache,,,False,False,True,False
KLAC,KLA Corp,0.01221992,twelve_data,quote,KLAC,,cache,,,False,False,True,False
