date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-09-14,49.44,49.675,48.625,49.02,6770057,49.44,49.675,48.625,49.02,6770057,0.0,1.0,FAST,tiingo
2026-09-15,49.41,49.685,48.71,49.43,5203941,49.41,49.685,48.71,49.43,5203941,0.0,1.0,FAST,tiingo
2026-09-16,49.03,49.78,48.73,49.6,5999030,49.03,49.78,48.73,49.6,5999030,0.0,1.0,FAST,tiingo
2026-09-17,49.18,49.58,48.625,49.48,5071929,49.18,49.58,48.625,49.48,5071929,0.0,1.0,FAST,tiingo
2026-09-18,49.01,49.285,48.565,49.06,11663763,49.01,49.285,48.565,49.06,11663763,0.0,1.0,FAST,tiingo
2026-09-21,49.65,49.7,48.525,48.94,4471350,49.65,49.7,48.525,48.94,4471350,0.0,1.0,FAST,tiingo
2026-09-22,50.08,50.195,49.57,49.76,6739802,50.08,50.195,49.57,49.76,6739802,0.0,1.0,FAST,tiingo
2026-09-23,50.99,51.04,49.94,50.12,7963332,50.99,51.04,49.94,50.12,7963332,0.0,1.0,FAST,tiingo
2026-09-24,50.73,51.41,50.345,50.9,10273168,50.73,51.41,50.345,50.9,10273168,0.0,1.0,FAST,tiingo
