symbol,company_name,weight,price,change,changes_percentage,market_cap,pe,eps,provider,quote_time,is_missing,error_type,attempted_symbol,was_api_success,was_parse_success,was_merge_success
NVDA,NVIDIA Corp,0.08393695,200.42,-7.77,-3.73217,,,,twelve_data,1781098200,False,,NVDA,True,True,True
AAPL,Apple Inc,0.07068724,291.57999,1.029999,0.35449968,,,,twelve_data,1781098200,False,,AAPL,True,True,True
MSFT,Microsoft Corp,0.04974989,397.35999,-6.050018,-1.49972,,,,twelve_data,1781098200,False,,MSFT,True,True,True
MU,Micron Technology Inc,0.048182960000000004,891.88,-44.01001,-4.70248,,,,twelve_data,1781098200,False,,MU,True,True,True
AMZN,Amazon.com Inc,0.04343884,238.0,-6.19,-2.53491,,,,twelve_data,1781098200,False,,AMZN,True,True,True
AMD,Advanced Micro Devices Inc,0.03546174,452.39999,-23.11002,-4.86005,,,,twelve_data,1781098200,False,,AMD,True,True,True
GOOGL,Alphabet Inc Class A,0.03515904,356.38,-7.88,-2.16329,,,,twelve_data,1781098200,False,,GOOGL,True,True,True
TSLA,Tesla Inc,0.03280628,381.59,-15.089996,-3.80407,,,,twelve_data,1781098200,False,,TSLA,True,True,True
GOOG,Alphabet Inc Class C,0.03267014,353.32001,-8.97,-2.47592,,,,twelve_data,1781098200,False,,GOOG,True,True,True
AVGO,Broadcom Inc,0.03080933,372.10001,-20.059998,-5.11526,,,,twelve_data,1781098200,False,,AVGO,True,True,True
META,Meta Platforms Inc,0.0285731,570.97998,-13.61005,-2.32814,,,,twelve_data,1781098200,False,,META,True,True,True
WMT,Walmart Inc,0.02657661,120.59,1.71,1.43842,,,,twelve_data,1781098200,False,,WMT,True,True,True
INTC,Intel Corp,0.02466055,107.040001,-0.87999725,-0.8154163,,,,twelve_data,1781098200,False,,INTC,True,True,True
CSCO,Cisco Systems Inc,0.021748840000000002,118.8,-1.56,-1.29611,,,,twelve_data,1781098200,False,,CSCO,True,True,True
COST,Costco Wholesale Corp,0.01966863,983.37,14.77997,1.52593,,,,twelve_data,1781098200,False,,COST,True,True,True
LRCX,Lam Research Corp,0.0186813,321.79999,-5.36002,-1.63835,,,,twelve_data,1781098200,False,,LRCX,True,True,True
AMAT,Applied Materials Inc,0.018135,497.01001,-2.19998,-0.44069264,,,,twelve_data,1781098200,False,,AMAT,True,True,True
NFLX,Netflix Inc,0.01571726,82.0,0.58999634,0.72472216,,,,twelve_data,1781098200,False,,NFLX,True,True,True
PLTR,Palantir Technologies Inc,0.0138383,130.21001,-1.86,-1.40834,,,,twelve_data,1781098200,False,,PLTR,True,True,True
KLAC,KLA Corp,0.012822579999999998,2135.63989,-3.73022,-0.17436088,,,,twelve_data,1781098200,False,,KLAC,True,True,True
