date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,symbol,source
2026-08-24,971.4,974.4947,951.385,953.01,2205864,971.4,974.4947,951.385,953.01,2205864,0.0,1.0,COST,tiingo
2026-08-25,960.01,969.05,959.89,965.86,1360603,960.01,969.05,959.89,965.86,1360603,0.0,1.0,COST,tiingo
2026-08-26,956.12,964.45,954.5355,960.58,1223015,956.12,964.45,954.5355,960.58,1223015,0.0,1.0,COST,tiingo
2026-08-27,934.66,948.85,933.25,948.265,2242458,934.66,948.85,933.25,948.265,2242458,0.0,1.0,COST,tiingo
2026-08-28,945.47,953.73,937.11,938.935,1401469,945.47,953.73,937.11,938.935,1401469,0.0,1.0,COST,tiingo
2026-08-31,943.89,949.3,940.71,945.19,2393041,943.89,949.3,940.71,945.19,2393041,0.0,1.0,COST,tiingo
2026-09-01,939.96,952.095,935.925,947.35,1508559,939.96,952.095,935.925,947.35,1508559,0.0,1.0,COST,tiingo
2026-09-02,928.48,938.88,920.3101,938.49,2166373,928.48,938.88,920.3101,938.49,2166373,0.0,1.0,COST,tiingo
