metric_name,metric_value,denominator,data_date,source,is_missing
advancing_count,42.0,98,2026-06-08,mixed_history_cache+twelve_data_quote,False
declining_count,54.0,98,2026-06-08,mixed_history_cache+twelve_data_quote,False
advancing_ratio,0.42857142857142855,98,2026-06-08,mixed_history_cache+twelve_data_quote,False
above_20d_ma_ratio,0.4489795918367347,98,2026-06-08,mixed_history_cache+twelve_data_quote,False
above_50d_ma_ratio,0.5510204081632653,98,2026-06-08,mixed_history_cache+twelve_data_quote,False
above_200d_ma_ratio,0.5816326530612245,98,2026-06-08,mixed_history_cache+twelve_data_quote,False
new_high_20d_count,8.0,98,2026-06-08,mixed_history_cache+twelve_data_quote,False
new_low_20d_count,11.0,98,2026-06-08,mixed_history_cache+twelve_data_quote,False
